"State_Name","Constituency_No","Constituency_Name","Year","Assembly_No","Electors","Turnout","ENOP","volatility","incumb_change","state_incumb_change","nat_incumb_change"
"Andhra_Pradesh",6,"PATAPATNAM",1985,8,95054,75.35,2,71.545,-70.8,-70.8,25.7
"Andhra_Pradesh",6,"PATAPATNAM",1999,11,127757,65.63,2.04,11.17,-10.65,9.72,-10.65
"Andhra_Pradesh",6,"PATAPATNAM",2004,12,117051,74.03,2,5.825,-4.38,-4.38,0
"Andhra_Pradesh",6,"PATHAPATNAM",1989,9,114653,71.87,2.04,0,0,0,0
"Andhra_Pradesh",7,"ADILABAD",2012,13,177743,67.8,3.03,0,0,0,0
"Andhra_Pradesh",7,"ETCHERLA",2014,14,210400,82.7,2.17,0,0,0,0
"Andhra_Pradesh",7,"ETCHERLA",2019,15,232070,84.19,2.33,10.14,-7.85,-7.85,0
"Andhra_Pradesh",7,"KOTHURU",1983,7,93444,63.93,2.38,0,0,0,0
"Andhra_Pradesh",7,"KOTHURU",1985,8,102974,65.3,2,64.33,-53.32,-53.32,14.6
"Andhra_Pradesh",7,"KOTHURU",1994,10,129402,69.36,2.17,12.74,-11.95,7.77,-12.74
"Andhra_Pradesh",7,"KOTHURU",1999,11,139066,62.21,2.44,15.83,-10.44,-10.44,6.77
"Andhra_Pradesh",7,"KOTHURU",2004,12,135062,70.26,2.08,9.06,0.57,0.57,0
"Andhra_Pradesh",7,"KOTTURU",1989,9,122825,66.34,2.04,0,0,0,0
"Andhra_Pradesh",8,"BOATH",2009,13,142890,81.21,2.5,0,0,0,0
"Andhra_Pradesh",8,"NAGURU",1983,7,92370,60.63,2.44,0,0,0,0
"Andhra_Pradesh",8,"NAGURU",1985,8,99514,62.74,2.17,50.54,5.76,-6.37,5.76
"Andhra_Pradesh",8,"NAGURU",1989,9,118022,64.22,2.13,1.435,-0.309999999999995,1.43,-0.309999999999995
"Andhra_Pradesh",8,"NAGURU",1994,10,125362,68.4,1.96,23.1,-22.96,-22.96,-22.96
"Andhra_Pradesh",8,"NAGURU",1999,11,125004,68.94,2.78,31.775,-27.35,-27.35,18.32
"Andhra_Pradesh",8,"NAGURU",2004,12,130305,71.74,2.33,48,-46.1,3.14,0
"Andhra_Pradesh",8,"NARASANNAPETA",2014,14,196379,79.01,2.22,0,0,0,0
"Andhra_Pradesh",8,"NARASANNAPETA",2019,15,210451,79.6,2.33,11.225,-9.2,-9.2,0
"Andhra_Pradesh",9,"NIRMAL",2009,13,169201,77.76,3.57,0,0,0,0
"Andhra_Pradesh",9,"PARVATHIPURAM",1983,7,88469,71.8,2.27,0,0,0,0
"Andhra_Pradesh",9,"PARVATHIPURAM",1985,8,95128,68.22,1.96,70.035,-67.62,-67.62,8.67
"Andhra_Pradesh",9,"PARVATHIPURAM",1989,9,113904,72.36,2,11.665,-9.73999999999999,-9.73999999999999,11.66
"Andhra_Pradesh",9,"PARVATHIPURAM",1994,10,121695,74.97,2.27,7.295,0.379999999999995,-7.3,-7.3
"Andhra_Pradesh",9,"PARVATHIPURAM",1999,11,124854,72.99,2.17,16.4,-12.59,-12.59,13.68
"Andhra_Pradesh",9,"PARVATHIPURAM",2004,12,129196,76.64,2.17,8.715,-5.99,7.52,0
"Andhra_Pradesh",9,"RAJAM",2014,14,199349,74.18,2.27,0,0,0,0
"Andhra_Pradesh",9,"RAJAM (SC)",2019,15,220006,73.88,2.33,0,0,0,0
"Andhra_Pradesh",10,"MUDHOLE",2009,13,175877,78.26,3.85,0,0,0,0
"Andhra_Pradesh",10,"PALAKONDA",2014,14,168256,72.17,2.44,0,0,0,0
"Andhra_Pradesh",10,"PALAKONDA  (ST)",2019,15,184967,73.91,2.27,0,0,0,0
"Andhra_Pradesh",10,"SALUR",1983,7,86088,62.09,2.08,0,0,0,0
"Andhra_Pradesh",10,"SALUR",1985,8,88857,66.47,1.96,69.02,-61.15,-61.15,12.56
"Andhra_Pradesh",10,"SALUR",1989,9,105721,68.3,2.04,7.73,-6.07,-6.07,6.07
"Andhra_Pradesh",10,"SALUR",1994,10,116699,70.88,1.89,19.75,-18.99,-18.99,-18.99
"Andhra_Pradesh",10,"SALUR",1999,11,119845,69.59,2,10.305,-7.95,-7.95,9.61
"Andhra_Pradesh",10,"SALUR",2004,12,126838,74.64,2,8.455,-6.86,-6.86,0
"Andhra_Pradesh",11,"ARMUR",2009,13,163658,73.83,3.57,0,0,0,0
"Andhra_Pradesh",11,"BOBBILI",1983,7,88436,76.34,2.08,0,0,0,0
"Andhra_Pradesh",11,"BOBBILI",1985,8,95407,65.14,1.72,72.21,-61.99,-61.99,-10.22
"Andhra_Pradesh",11,"BOBBILI",1989,9,110822,76.18,2.04,24.705,-22.8,-22.8,24.71
"Andhra_Pradesh",11,"BOBBILI",1994,10,118628,78.29,3.23,22.105,-14.39,-14.39,-14.39
"Andhra_Pradesh",11,"BOBBILI",1999,11,120172,77.56,2,22.92,2.82,2.82,19.37
"Andhra_Pradesh",11,"BOBBILI",2004,12,121545,81.93,2.17,4.89,-0.699999999999996,-3.46,0
"Andhra_Pradesh",11,"KURUPAM",2014,14,176271,75.6,3.57,0,0,0,0
"Andhra_Pradesh",11,"KURUPAM",2019,15,184259,77.75,2.63,22.87,10.42,6.17,0
"Andhra_Pradesh",12,"BODHAN",2009,13,180181,73.27,3.7,0,0,0,0
"Andhra_Pradesh",12,"PARVATHIPURAM",2014,14,173905,74.91,2.38,0,0,0,0
"Andhra_Pradesh",12,"PARVATHIPURAM",2019,15,182866,76.93,2.38,17.55,-11.61,-11.61,0
"Andhra_Pradesh",12,"THERLAM",1983,7,98783,72.8,2.08,0,0,0,0
"Andhra_Pradesh",12,"THERLAM",1985,8,107609,72.54,2.22,14.255,-5.88,0,7.17
"Andhra_Pradesh",12,"THERLAM",1989,9,126393,71.69,2,9.57,-2.48,-2.48,9.57
"Andhra_Pradesh",12,"THERLAM",1994,10,135953,75.41,2.22,5.4,-5.3,-0.0999999999999943,-0.0999999999999943
"Andhra_Pradesh",12,"THERLAM",1999,11,128786,78.36,2.04,7.465,-2.06,-2.06,6.79
"Andhra_Pradesh",12,"THERLAM",2008,12,139040,54.01,1.72,100.005,-52.38,-46.95,0
"Andhra_Pradesh",13,"JUKKAL",2009,13,165426,77.22,2.33,0,0,0,0
